filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch_0.fast5	6d8c5c34-1e46-4902-a499-88c513a65155	91f216faec432f6717a2618d5a951d151cf86098	0	339	2	11418.426959	6.854250	2064	TRUE	11420.059429	1572	5.221780	443	12.352724	0.000000	86.975563	13.046334	86.975563	13.046334
batch_0.fast5	78313679-20a1-4eca-b3a9-2859035eac7e	91f216faec432f6717a2618d5a951d151cf86098	0	29	4	11467.670983	24.639442	7421	TRUE	11467.880810	7358	24.429615	2211	8.137222	0.000000	75.523781	9.422353	75.523781	9.422353
batch_0.fast5	7fc98c45-19e3-41c5-8278-1e7b42e85127	91f216faec432f6717a2618d5a951d151cf86098	0	214	4	11610.733068	10.356242	3119	TRUE	11613.080677	2412	8.008632	572	10.712505	0.000000	79.147758	12.756416	79.147758	12.756416
batch_0.fast5	753ccf61-389c-40b0-8740-7a12f38cc272	91f216faec432f6717a2618d5a951d151cf86098	0	9	1	11434.732736	38.556109	11613	TRUE	11436.431275	11101	36.857570	3435	10.176003	0.000000	81.901985	12.321538	81.901985	12.321538
batch_0.fast5	727ebb86-9ccf-4602-bc62-12026a8e57a3	91f216faec432f6717a2618d5a951d151cf86098	0	176	2	11463.990040	4.908035	1478	TRUE	11465.135790	1133	3.762284	310	10.030073	0.000000	81.757027	13.626171	81.757027	13.626171
batch_0.fast5	7492b365-4bbd-480e-9b3b-8dfcdbf22ca6	91f216faec432f6717a2618d5a951d151cf86098	0	116	3	11569.687251	7.941567	2392	FALSE	11569.931275	2318	7.697543	245	6.449759	0.000000	62.187527	9.567312	62.187527	9.567312
batch_0.fast5	6ccc07bb-a9d2-465b-b34e-97bb2f828bc9	91f216faec432f6717a2618d5a951d151cf86098	0	137	2	11415.540837	25.794821	7769	TRUE	11415.673639	7729	25.662019	1598	7.501219	0.000000	81.901985	13.046334	81.901985	13.046334
batch_0.fast5	79824b84-aede-4c33-9785-4be07f7e2196	91f216faec432f6717a2618d5a951d151cf86098	0	287	3	11576.009296	7.590637	2286	TRUE	11577.572709	1815	6.027224	459	8.053764	0.000000	79.147758	12.756416	79.147758	12.756416
batch_0.fast5	7b2c4702-e279-448b-ab46-05b170aeba60	91f216faec432f6717a2618d5a951d151cf86098	0	52	4	11469.357570	8.913679	2684	FALSE	11471.438247	2058	6.833001	444	6.323182	0.000000	77.118332	13.191294	77.118332	13.191294
batch_0.fast5	5d68508c-2c93-4fbd-af39-d6812d55164c	91f216faec432f6717a2618d5a951d151cf86098	0	158	3	11319.930611	8.192231	2467	TRUE	11321.461487	2006	6.661355	680	10.326472	0.000000	79.582642	11.596742	79.582642	11.596742
batch_0.fast5	61bdb732-8e76-4ccd-a870-47dd22fedf24	91f216faec432f6717a2618d5a951d151cf86098	0	450	1	11378.872178	10.484396	3157	TRUE	11381.942563	2233	7.414011	571	11.156120	0.000000	87.410439	14.206009	87.410439	14.206009
batch_0.fast5	6e97317b-d21f-4d80-a6c9-259152cf02aa	91f216faec432f6717a2618d5a951d151cf86098	0	165	1	11331.056773	11.707171	3526	TRUE	11331.189575	3486	11.574369	1062	8.696404	0.000000	70.885086	12.466497	70.885086	12.466497
batch_0.fast5	7baf893e-c421-4b03-8186-92d72bc1bdea	91f216faec432f6717a2618d5a951d151cf86098	0	32	4	11460.227092	7.248340	2183	TRUE	11461.963147	1660	5.512284	438	10.819510	0.000000	84.946136	13.046334	84.946136	13.046334
batch_0.fast5	6959f359-aff1-41df-a941-d72b75827a37	91f216faec432f6717a2618d5a951d151cf86098	0	450	1	11331.384462	8.669323	2611	TRUE	11333.169987	2073	6.883798	558	11.819933	0.000000	84.511253	14.640886	84.511253	14.640886
batch_0.fast5	641a0644-cf91-4d8a-b2a9-3b18ba96f36d	91f216faec432f6717a2618d5a951d151cf86098	0	77	2	11321.369854	11.476428	3456	TRUE	11321.502988	3416	11.343293	960	10.189260	0.000000	73.639313	9.712271	73.639313	9.712271
batch_0.fast5	573e03de-a84e-4ea1-b0aa-8610bc07ceec	91f216faec432f6717a2618d5a951d151cf86098	0	360	2	11600.234728	23.587649	7104	TRUE	11602.841301	6319	20.981076	1797	10.850664	0.000000	85.381012	14.206009	85.381012	14.206009
batch_0.fast5	64bcc288-afa0-4b94-8f82-8c75d09a5bf4	91f216faec432f6717a2618d5a951d151cf86098	0	423	2	11444.302125	19.824701	5971	TRUE	11447.309761	5065	16.817065	1117	10.411733	0.000000	77.263290	13.771131	77.263290	13.771131
batch_0.fast5	5cfdfd01-4ca8-4c4a-84f0-ae805af604d0	91f216faec432f6717a2618d5a951d151cf86098	0	164	1	11271.366534	43.409031	13074	TRUE	11271.366534	13074	43.409031	1444	7.842859	0.000000	67.406059	10.582026	67.406059	10.582026
batch_0.fast5	6d68782f-f508-4eef-83cf-d98f5f4f1a58	91f216faec432f6717a2618d5a951d151cf86098	0	12	2	11302.776228	25.518592	7686	TRUE	11304.280876	7233	24.013944	1916	11.093590	0.000000	83.931419	13.916090	83.931419	13.916090
