,ac4C
138,LOC_Os05g13620.1.MSUv7.0
139,LOC_Os03g60840.1.MSUv7.0
140,LOC_Os04g55490.1.MSUv7.0
141,LOC_Os10g26150.1.MSUv7.0
142,LOC_Os04g42430.1.MSUv7.0
143,LOC_Os06g48534.1.MSUv7.0
144,LOC_Os03g38520.1.MSUv7.0
145,LOC_Os09g35830.4.MSUv7.0
146,LOC_Os12g34510.1.MSUv7.0
147,LOC_Os09g33460.2.MSUv7.0
148,LOC_Os01g03750.1.MSUv7.0
149,LOC_Os05g49780.1.MSUv7.0
150,LOC_Os08g42550.1.MSUv7.0
151,LOC_Os04g49000.1.MSUv7.0
152,LOC_Os01g17190.1.MSUv7.0
153,LOC_Os03g40180.2.MSUv7.0
154,LOC_Os06g48200.1.MSUv7.0
155,LOC_Os09g32976.2.MSUv7.0
156,LOC_Os06g11320.1.MSUv7.0
157,LOC_Os12g35320.1.MSUv7.0
158,LOC_Os03g22010.3.MSUv7.0
159,LOC_Os03g35340.1.MSUv7.0
160,LOC_Os07g41750.1.MSUv7.0
161,LOC_Os02g07890.3.MSUv7.0
162,LOC_Os07g01990.1.MSUv7.0
163,LOC_Os04g50890.1.MSUv7.0
164,LOC_Os02g45250.1.MSUv7.0
165,LOC_Os02g04740.1.MSUv7.0
166,LOC_Os03g07370.1.MSUv7.0
167,LOC_Os06g06980.1.MSUv7.0
168,LOC_Os02g30050.1.MSUv7.0
169,LOC_Os08g27850.1.MSUv7.0
170,LOC_Os03g21000.1.MSUv7.0
171,LOC_Os03g58850.1.MSUv7.0
172,LOC_Os01g15290.2.MSUv7.0
173,LOC_Os05g13630.1.MSUv7.0
174,LOC_Os11g26910.1.MSUv7.0
175,LOC_Os04g39320.4.MSUv7.0
176,LOC_Os01g60350.1.MSUv7.0
177,LOC_Os10g05970.1.MSUv7.0
178,LOC_Os02g55330.2.MSUv7.0
179,LOC_Os11g02150.1.MSUv7.0
180,LOC_Os01g47340.1.MSUv7.0
181,LOC_Os07g40220.1.MSUv7.0
182,LOC_Os05g02300.1.MSUv7.0
183,LOC_Os07g07709.1.MSUv7.0
184,LOC_Os05g41060.1.MSUv7.0
185,LOC_Os10g32970.1.MSUv7.0
186,LOC_Os02g52040.1.MSUv7.0
187,LOC_Os01g14850.1.MSUv7.0
188,LOC_Os06g05080.1.MSUv7.0
189,LOC_Os11g13890.2.MSUv7.0
190,LOC_Os03g18570.1.MSUv7.0
191,LOC_Os01g55570.1.MSUv7.0
192,LOC_Os03g39610.1.MSUv7.0
193,LOC_Os10g05970.2.MSUv7.0
194,LOC_Os08g02120.1.MSUv7.0
195,LOC_Os04g52130.1.MSUv7.0
196,LOC_Os02g06700.1.MSUv7.0
197,LOC_Os12g07880.1.MSUv7.0
198,LOC_Os01g08380.1.MSUv7.0
199,LOC_Os01g18170.1.MSUv7.0
200,LOC_Os02g44630.2.MSUv7.0
201,LOC_Os05g46520.1.MSUv7.0
202,LOC_Os03g14140.1.MSUv7.0
203,LOC_Os12g43450.1.MSUv7.0
204,LOC_Os03g47770.1.MSUv7.0
205,LOC_Os02g06584.2.MSUv7.0
206,LOC_Os06g35970.2.MSUv7.0
207,LOC_Os11g03400.1.MSUv7.0
208,LOC_Os03g22270.1.MSUv7.0
209,LOC_Os07g01870.1.MSUv7.0
210,LOC_Os02g38190.1.MSUv7.0
211,LOC_Os07g02810.1.MSUv7.0
212,LOC_Os07g06080.1.MSUv7.0
213,LOC_Os03g21940.1.MSUv7.0
214,LOC_Os07g31884.1.MSUv7.0
215,LOC_Os05g48800.3.MSUv7.0
216,LOC_Os05g38830.2.MSUv7.0
217,LOC_Os04g49980.1.MSUv7.0
218,LOC_Os01g61780.1.MSUv7.0
219,LOC_Os12g36100.1.MSUv7.0
220,LOC_Os01g46290.1.MSUv7.0
221,LOC_Os03g47034.1.MSUv7.0
222,LOC_Os08g37874.3.MSUv7.0
223,LOC_Os12g38000.1.MSUv7.0
224,LOC_Os03g16980.1.MSUv7.0
225,LOC_Os05g01240.5.MSUv7.0
226,LOC_Os05g51830.1.MSUv7.0
227,LOC_Os08g23710.1.MSUv7.0
228,LOC_Os03g19560.2.MSUv7.0
229,LOC_Os11g36430.1.MSUv7.0
230,LOC_Os03g14590.1.MSUv7.0
231,LOC_Os04g39150.1.MSUv7.0
232,LOC_Os09g16714.1.MSUv7.0
233,LOC_Os01g14670.1.MSUv7.0
234,LOC_Os09g38980.2.MSUv7.0
235,LOC_Os02g49080.1.MSUv7.0
236,LOC_Os03g22810.1.MSUv7.0
237,LOC_Os05g04410.1.MSUv7.0
238,LOC_Os03g52690.6.MSUv7.0
239,LOC_Os01g15830.1.MSUv7.0
240,LOC_Os12g43370.1.MSUv7.0
241,LOC_Os03g19250.1.MSUv7.0
242,LOC_Os01g47262.2.MSUv7.0
243,LOC_Os04g43350.1.MSUv7.0
244,LOC_Os01g59740.1.MSUv7.0
245,LOC_Os07g31540.1.MSUv7.0
246,LOC_Os08g01220.1.MSUv7.0
247,LOC_Os03g14050.2.MSUv7.0
248,LOC_Os01g73140.1.MSUv7.0
249,LOC_Os03g55150.6.MSUv7.0
250,LOC_Os04g47870.2.MSUv7.0
251,LOC_Os04g01140.1.MSUv7.0
252,LOC_Os02g48360.1.MSUv7.0
253,LOC_Os06g04030.1.MSUv7.0
254,LOC_Os08g31580.1.MSUv7.0
255,LOC_Os12g38810.1.MSUv7.0
256,LOC_Os01g68030.1.MSUv7.0
257,LOC_Os04g28990.1.MSUv7.0
258,LOC_Os11g41990.2.MSUv7.0
259,LOC_Os03g14950.1.MSUv7.0
260,LOC_Os12g23200.2.MSUv7.0
261,LOC_Os11g26850.3.MSUv7.0
262,LOC_Os02g18390.1.MSUv7.0
263,LOC_Os07g37550.1.MSUv7.0
264,LOC_Os07g34570.2.MSUv7.0
265,LOC_Os11g06440.1.MSUv7.0
266,LOC_Os05g05940.1.MSUv7.0
267,LOC_Os02g55300.1.MSUv7.0
268,LOC_Os12g05410.2.MSUv7.0
269,LOC_Os01g32780.1.MSUv7.0
270,LOC_Os04g31350.1.MSUv7.0
271,LOC_Os07g03710.1.MSUv7.0
272,LOC_Os01g04350.1.MSUv7.0
273,LOC_Os08g06250.1.MSUv7.0
274,LOC_Os02g27760.1.MSUv7.0
275,LOC_Os01g19740.1.MSUv7.0
276,LOC_Os10g38580.1.MSUv7.0
277,LOC_Os03g01300.1.MSUv7.0
278,LOC_Os09g33480.1.MSUv7.0
279,LOC_Os03g61990.2.MSUv7.0
280,LOC_Os03g01980.1.MSUv7.0
281,LOC_Os07g38730.1.MSUv7.0
282,LOC_Os12g18760.2.MSUv7.0
283,LOC_Os05g27340.1.MSUv7.0
284,LOC_Os06g01210.1.MSUv7.0
285,LOC_Os10g41470.1.MSUv7.0
286,LOC_Os01g16910.1.MSUv7.0
287,LOC_Os06g05000.1.MSUv7.0
288,LOC_Os05g34070.1.MSUv7.0
289,LOC_Os08g44450.2.MSUv7.0
290,LOC_Os08g38900.3.MSUv7.0
291,LOC_Os02g10810.1.MSUv7.0
292,LOC_Os03g37130.1.MSUv7.0
293,LOC_Os06g50130.1.MSUv7.0
294,LOC_Os02g43830.1.MSUv7.0
295,LOC_Os07g01660.1.MSUv7.0
296,LOC_Os11g02400.2.MSUv7.0
297,LOC_Os08g37670.1.MSUv7.0
298,LOC_Os03g05980.1.MSUv7.0
299,LOC_Os04g43990.1.MSUv7.0
300,LOC_Os11g14140.1.MSUv7.0
301,LOC_Os08g01380.1.MSUv7.0
302,LOC_Os02g02020.1.MSUv7.0
303,LOC_Os07g36600.2.MSUv7.0
304,LOC_Os10g33960.2.MSUv7.0
305,LOC_Os06g04650.1.MSUv7.0
306,LOC_Os07g09450.1.MSUv7.0
307,LOC_Os01g61350.1.MSUv7.0
308,LOC_Os11g29190.2.MSUv7.0
309,LOC_Os09g17740.1.MSUv7.0
310,LOC_Os03g18850.1.MSUv7.0
311,LOC_Os11g05570.1.MSUv7.0
