,ac4C
1815,LOC_Os02g45570.1.MSUv7.0
1816,LOC_Os11g39320.1.MSUv7.0
1817,LOC_Os02g01010.1.MSUv7.0
1818,LOC_Os07g08150.1.MSUv7.0
1819,LOC_Os05g27100.1.MSUv7.0
1820,LOC_Os10g40730.1.MSUv7.0
1821,LOC_Os05g02990.2.MSUv7.0
1822,LOC_Os07g40910.1.MSUv7.0
1823,LOC_Os09g39380.1.MSUv7.0
1824,LOC_Os10g35190.1.MSUv7.0
1825,LOC_Os02g44980.1.MSUv7.0
1826,LOC_Os03g24040.1.MSUv7.0
1827,LOC_Os01g61060.1.MSUv7.0
1828,LOC_Os08g38890.1.MSUv7.0
1829,LOC_Os05g01480.1.MSUv7.0
1830,LOC_Os10g40430.1.MSUv7.0
1831,LOC_Os11g14070.1.MSUv7.0
1832,LOC_Os06g50400.1.MSUv7.0
1833,LOC_Os02g51770.3.MSUv7.0
1834,LOC_Os03g59170.1.MSUv7.0
1835,LOC_Os05g03480.2.MSUv7.0
1836,LOC_Os01g16030.1.MSUv7.0
1837,LOC_Os11g48080.1.MSUv7.0
1838,LOC_Os02g50210.1.MSUv7.0
1839,LOC_Os03g38000.2.MSUv7.0
1840,LOC_Os02g43710.1.MSUv7.0
1841,LOC_Os01g16010.2.MSUv7.0
1842,LOC_Os01g06290.1.MSUv7.0
1843,LOC_Os05g29710.1.MSUv7.0
1844,LOC_Os05g03480.4.MSUv7.0
1845,LOC_Os02g02400.1.MSUv7.0
1846,LOC_Os08g35710.1.MSUv7.0
1847,LOC_Os05g39450.1.MSUv7.0
1848,LOC_Os02g51720.1.MSUv7.0
1849,LOC_Os08g37480.1.MSUv7.0
1850,LOC_Os03g08500.1.MSUv7.0
1851,LOC_Os04g34630.1.MSUv7.0
1852,LOC_Os03g52680.1.MSUv7.0
1853,LOC_Os10g33720.3.MSUv7.0
1854,LOC_Os05g46950.1.MSUv7.0
1855,LOC_Os03g55280.1.MSUv7.0
1856,LOC_Os03g50450.1.MSUv7.0
1857,LOC_Os11g01170.1.MSUv7.0
1858,LOC_Os07g40800.1.MSUv7.0
1859,LOC_Os05g01350.1.MSUv7.0
1860,LOC_Os04g55650.1.MSUv7.0
1861,LOC_Os03g49990.1.MSUv7.0
1862,LOC_Os07g46670.3.MSUv7.0
1863,LOC_Os10g42870.2.MSUv7.0
1864,LOC_Os01g49290.1.MSUv7.0
1865,LOC_Os10g22520.1.MSUv7.0
1866,LOC_Os03g29920.1.MSUv7.0
1867,LOC_Os12g16200.1.MSUv7.0
1868,LOC_Os08g42850.1.MSUv7.0
1869,LOC_Os05g46580.1.MSUv7.0
1870,LOC_Os03g06330.1.MSUv7.0
1871,LOC_Os03g39880.1.MSUv7.0
1872,LOC_Os08g41300.1.MSUv7.0
1873,LOC_Os04g59330.1.MSUv7.0
1874,LOC_Os08g44270.1.MSUv7.0
1875,LOC_Os12g03090.1.MSUv7.0
1876,LOC_Os03g46490.1.MSUv7.0
1877,LOC_Os05g01050.3.MSUv7.0
1878,LOC_Os03g10340.1.MSUv7.0
1879,LOC_Os01g74300.1.MSUv7.0
1880,LOC_Os02g36974.4.MSUv7.0
1881,LOC_Os01g71190.1.MSUv7.0
1882,LOC_Os06g05660.1.MSUv7.0
1883,LOC_Os03g59360.1.MSUv7.0
1884,LOC_Os02g52450.1.MSUv7.0
1885,LOC_Os01g74010.2.MSUv7.0
1886,LOC_Os03g46930.1.MSUv7.0
1887,LOC_Os06g41380.1.MSUv7.0
1888,LOC_Os08g23410.1.MSUv7.0
1889,LOC_Os08g42870.1.MSUv7.0
1890,LOC_Os12g41400.1.MSUv7.0
1891,LOC_Os02g53180.1.MSUv7.0
1892,LOC_Os05g38520.2.MSUv7.0
1893,LOC_Os10g30640.1.MSUv7.0
1894,LOC_Os12g15400.1.MSUv7.0
1895,LOC_Os01g47180.1.MSUv7.0
1896,LOC_Os03g22270.2.MSUv7.0
1897,LOC_Os08g43540.1.MSUv7.0
1898,LOC_Os01g19820.1.MSUv7.0
1899,LOC_Os06g35480.1.MSUv7.0
1900,LOC_Os10g32980.1.MSUv7.0
1901,LOC_Os03g21370.1.MSUv7.0
1902,LOC_Os06g14620.1.MSUv7.0
1903,LOC_Os03g04990.1.MSUv7.0
1904,LOC_Os02g40040.1.MSUv7.0
1905,LOC_Os04g51270.1.MSUv7.0
1906,LOC_Os06g49660.1.MSUv7.0
1907,LOC_Os06g35630.1.MSUv7.0
1908,LOC_Os07g08160.1.MSUv7.0
1909,LOC_Os04g46960.2.MSUv7.0
1910,LOC_Os02g51450.2.MSUv7.0
1911,LOC_Os05g37140.1.MSUv7.0
1912,LOC_Os08g38220.1.MSUv7.0
1913,LOC_Os04g44820.2.MSUv7.0
1914,LOC_Os09g32510.4.MSUv7.0
1915,LOC_Os02g53080.2.MSUv7.0
1916,LOC_Os04g58200.3.MSUv7.0
1917,LOC_Os02g35870.1.MSUv7.0
1918,LOC_Os07g48610.1.MSUv7.0
1919,LOC_Os01g61670.3.MSUv7.0
1920,LOC_Os09g25460.1.MSUv7.0
1921,LOC_Os11g05120.1.MSUv7.0
1922,LOC_Os06g47320.1.MSUv7.0
1923,LOC_Os03g58110.1.MSUv7.0
1924,LOC_Os06g46770.6.MSUv7.0
1925,LOC_Os03g44620.2.MSUv7.0
1926,LOC_Os03g55320.1.MSUv7.0
1927,LOC_Os03g02530.1.MSUv7.0
1928,LOC_Os02g56960.1.MSUv7.0
1929,LOC_Os01g50960.1.MSUv7.0
1930,LOC_Os03g38020.1.MSUv7.0
1931,LOC_Os01g70950.1.MSUv7.0
1932,LOC_Os08g06140.1.MSUv7.0
1933,LOC_Os02g32350.1.MSUv7.0
1934,LOC_Os05g40770.1.MSUv7.0
1935,LOC_Os07g42170.1.MSUv7.0
1936,LOC_Os03g49440.1.MSUv7.0
1937,LOC_Os09g29200.1.MSUv7.0
1938,LOC_Os05g02260.1.MSUv7.0
1939,LOC_Os06g04920.1.MSUv7.0
1940,LOC_Os01g21120.1.MSUv7.0
1941,LOC_Os09g24490.1.MSUv7.0
1942,LOC_Os03g25620.1.MSUv7.0
1943,LOC_Os02g55200.2.MSUv7.0
1944,LOC_Os05g34150.1.MSUv7.0
1945,LOC_Os07g49400.1.MSUv7.0
1946,LOC_Os04g40330.1.MSUv7.0
1947,LOC_Os12g33240.3.MSUv7.0
1948,LOC_Os02g14770.3.MSUv7.0
1949,LOC_Os05g44070.1.MSUv7.0
1950,LOC_Os01g70560.1.MSUv7.0
1951,LOC_Os11g32160.1.MSUv7.0
1952,LOC_Os11g13880.1.MSUv7.0
1953,LOC_Os03g26229.1.MSUv7.0
1954,LOC_Os03g43020.1.MSUv7.0
1955,LOC_Os03g62060.1.MSUv7.0
1956,LOC_Os08g44390.4.MSUv7.0
1957,LOC_Os03g10060.1.MSUv7.0
1958,LOC_Os06g43840.1.MSUv7.0
1959,LOC_Os06g03520.1.MSUv7.0
1960,LOC_Os05g07940.2.MSUv7.0
1961,LOC_Os05g37730.1.MSUv7.0
1962,LOC_Os09g23220.2.MSUv7.0
1963,LOC_Os01g59600.2.MSUv7.0
1964,LOC_Os03g64300.1.MSUv7.0
1965,LOC_Os01g54620.1.MSUv7.0
1966,LOC_Os03g18590.1.MSUv7.0
1967,LOC_Os09g25600.1.MSUv7.0
1968,LOC_Os10g02630.1.MSUv7.0
1969,LOC_Os02g33180.1.MSUv7.0
1970,LOC_Os02g57590.1.MSUv7.0
1971,LOC_Os05g06780.1.MSUv7.0
1972,LOC_Os05g49160.2.MSUv7.0
1973,LOC_Os05g28630.1.MSUv7.0
1974,LOC_Os07g23110.1.MSUv7.0
1975,LOC_Os07g32420.3.MSUv7.0
1976,LOC_Os02g11830.2.MSUv7.0
1977,LOC_Os07g38960.2.MSUv7.0
1978,LOC_Os02g44870.1.MSUv7.0
1979,LOC_Os07g06980.2.MSUv7.0
1980,LOC_Os06g06250.2.MSUv7.0
1981,LOC_Os05g41760.1.MSUv7.0
1982,LOC_Os03g50140.1.MSUv7.0
1983,LOC_Os03g19070.1.MSUv7.0
1984,LOC_Os12g35630.1.MSUv7.0
1985,LOC_Os01g15320.1.MSUv7.0
1986,LOC_Os07g43730.1.MSUv7.0
1987,LOC_Os02g33140.1.MSUv7.0
1988,LOC_Os02g15900.1.MSUv7.0
1989,LOC_Os09g08390.1.MSUv7.0
1990,LOC_Os11g07670.1.MSUv7.0
1991,LOC_Os05g04500.1.MSUv7.0
1992,LOC_Os10g35010.1.MSUv7.0
1993,LOC_Os06g10350.1.MSUv7.0
1994,LOC_Os07g07550.1.MSUv7.0
1995,LOC_Os03g56270.1.MSUv7.0
1996,LOC_Os05g15520.1.MSUv7.0
1997,LOC_Os06g11800.1.MSUv7.0
1998,LOC_Os05g43280.1.MSUv7.0
1999,LOC_Os06g21340.2.MSUv7.0
2000,LOC_Os02g41630.2.MSUv7.0
2001,LOC_Os06g41700.1.MSUv7.0
2002,LOC_Os01g09510.4.MSUv7.0
2003,LOC_Os01g15029.1.MSUv7.0
2004,LOC_Os10g22560.2.MSUv7.0
2005,LOC_Os01g54700.1.MSUv7.0
2006,LOC_Os11g30410.2.MSUv7.0
2007,LOC_Os05g40300.2.MSUv7.0
2008,LOC_Os03g16980.3.MSUv7.0
2009,LOC_Os08g09610.1.MSUv7.0
2010,LOC_Os07g48630.2.MSUv7.0
2011,LOC_Os05g25260.1.MSUv7.0
2012,LOC_Os09g33810.3.MSUv7.0
2013,LOC_Os07g08460.2.MSUv7.0
2014,LOC_Os02g39070.2.MSUv7.0
2015,LOC_Os03g12390.1.MSUv7.0
2016,LOC_Os02g53830.1.MSUv7.0
2017,LOC_Os03g49600.5.MSUv7.0
2018,LOC_Os09g25490.1.MSUv7.0
2019,LOC_Os05g37330.1.MSUv7.0
2020,LOC_Os12g32284.1.MSUv7.0
2021,LOC_Os01g17250.1.MSUv7.0
2022,LOC_Os05g48640.1.MSUv7.0
2023,LOC_Os03g06090.1.MSUv7.0
2024,LOC_Os04g57400.1.MSUv7.0
2025,LOC_Os08g42290.1.MSUv7.0
2026,LOC_Os06g04070.1.MSUv7.0
2027,LOC_Os03g10050.1.MSUv7.0
2028,LOC_Os06g41410.1.MSUv7.0
2029,LOC_Os01g08560.1.MSUv7.0
2030,LOC_Os06g01790.1.MSUv7.0
2031,LOC_Os02g30380.1.MSUv7.0
2032,LOC_Os12g42884.2.MSUv7.0
2033,LOC_Os07g48780.2.MSUv7.0
2034,LOC_Os04g38310.1.MSUv7.0
2035,LOC_Os05g01090.2.MSUv7.0
2036,LOC_Os01g42710.1.MSUv7.0
2037,LOC_Os08g34270.1.MSUv7.0
2038,LOC_Os07g14740.1.MSUv7.0
2039,LOC_Os02g35039.1.MSUv7.0
2040,LOC_Os05g07690.3.MSUv7.0
2041,LOC_Os01g09640.1.MSUv7.0
2042,LOC_Os01g65100.3.MSUv7.0
2043,LOC_Os06g33810.1.MSUv7.0
2044,LOC_Os05g02880.1.MSUv7.0
2045,LOC_Os03g05520.1.MSUv7.0
2046,LOC_Os02g36500.1.MSUv7.0
2047,LOC_Os10g41410.2.MSUv7.0
2048,LOC_Os09g34250.1.MSUv7.0
2049,LOC_Os01g45914.1.MSUv7.0
2050,LOC_Os04g39700.1.MSUv7.0
2051,LOC_Os04g31710.1.MSUv7.0
2052,LOC_Os04g35510.1.MSUv7.0
2053,LOC_Os11g10480.4.MSUv7.0
2054,LOC_Os06g04800.1.MSUv7.0
2055,LOC_Os03g39870.1.MSUv7.0
2056,LOC_Os04g53950.3.MSUv7.0
2057,LOC_Os04g58240.1.MSUv7.0
2058,LOC_Os01g32460.1.MSUv7.0
2059,LOC_Os12g34500.1.MSUv7.0
2060,LOC_Os05g46610.1.MSUv7.0
2061,LOC_Os06g01370.1.MSUv7.0
2062,LOC_Os05g46780.1.MSUv7.0
2063,LOC_Os10g37420.2.MSUv7.0
2064,LOC_Os11g09990.1.MSUv7.0
2065,LOC_Os10g05990.2.MSUv7.0
2066,LOC_Os03g18500.1.MSUv7.0
2067,LOC_Os04g54300.1.MSUv7.0
2068,LOC_Os09g21210.1.MSUv7.0
2069,LOC_Os01g08410.1.MSUv7.0
2070,LOC_Os08g19670.1.MSUv7.0
2071,LOC_Os01g05490.2.MSUv7.0
2072,LOC_Os06g19690.1.MSUv7.0
2073,LOC_Os02g07890.2.MSUv7.0
2074,LOC_Os08g06140.3.MSUv7.0
2075,LOC_Os01g37490.1.MSUv7.0
2076,LOC_Os03g63420.1.MSUv7.0
2077,LOC_Os01g38229.3.MSUv7.0
2078,LOC_Os02g48080.1.MSUv7.0
2079,LOC_Os05g48960.2.MSUv7.0
2080,LOC_Os02g42374.1.MSUv7.0
2081,LOC_Os02g41860.2.MSUv7.0
2082,LOC_Os04g40660.1.MSUv7.0
2083,LOC_Os01g21450.1.MSUv7.0
2084,LOC_Os08g38910.1.MSUv7.0
2085,LOC_Os03g51600.1.MSUv7.0
2086,LOC_Os02g52880.1.MSUv7.0
2087,LOC_Os04g57510.2.MSUv7.0
2088,LOC_Os04g01300.3.MSUv7.0
2089,LOC_Os08g02410.1.MSUv7.0
2090,LOC_Os03g03130.1.MSUv7.0
2091,LOC_Os01g01307.2.MSUv7.0
2092,LOC_Os07g48490.4.MSUv7.0
2093,LOC_Os04g33640.2.MSUv7.0
2094,LOC_Os12g36194.1.MSUv7.0
2095,LOC_Os11g35050.2.MSUv7.0
2096,LOC_Os03g27230.1.MSUv7.0
2097,LOC_Os07g45280.1.MSUv7.0
2098,LOC_Os04g59040.3.MSUv7.0
2099,LOC_Os01g56890.1.MSUv7.0
2100,LOC_Os02g10200.1.MSUv7.0
2101,LOC_Os07g36080.2.MSUv7.0
2102,LOC_Os03g22180.1.MSUv7.0
2103,LOC_Os04g21950.1.MSUv7.0
2104,LOC_Os03g15730.1.MSUv7.0
2105,LOC_Os03g15940.1.MSUv7.0
2106,LOC_Os10g35150.2.MSUv7.0
2107,LOC_Os05g51180.1.MSUv7.0
2108,LOC_Os03g51250.1.MSUv7.0
2109,LOC_Os08g40720.1.MSUv7.0
2110,LOC_Os01g13120.1.MSUv7.0
2111,LOC_Os02g13130.3.MSUv7.0
2112,LOC_Os08g03290.2.MSUv7.0
2113,LOC_Os01g71300.1.MSUv7.0
2114,LOC_Os03g31070.1.MSUv7.0
2115,LOC_Os08g42040.2.MSUv7.0
2116,LOC_Os02g13380.1.MSUv7.0
2117,LOC_Os04g54430.1.MSUv7.0
2118,LOC_Os11g01620.1.MSUv7.0
2119,LOC_Os07g42960.1.MSUv7.0
2120,LOC_Os10g31950.1.MSUv7.0
2121,LOC_Os11g47760.3.MSUv7.0
2122,LOC_Os12g14070.1.MSUv7.0
2123,LOC_Os04g10214.1.MSUv7.0
2124,LOC_Os01g05130.1.MSUv7.0
2125,LOC_Os03g14590.3.MSUv7.0
2126,LOC_Os02g48900.1.MSUv7.0
2127,LOC_Os04g51630.1.MSUv7.0
2128,LOC_Os07g38970.1.MSUv7.0
2129,LOC_Os03g16980.4.MSUv7.0
2130,LOC_Os04g35300.1.MSUv7.0
2131,LOC_Os06g13100.1.MSUv7.0
2132,LOC_Os09g10760.1.MSUv7.0
2133,LOC_Os05g03480.5.MSUv7.0
2134,LOC_Os07g40710.1.MSUv7.0
2135,LOC_Os03g56330.1.MSUv7.0
2136,LOC_Os05g02130.1.MSUv7.0
2137,LOC_Os09g32520.1.MSUv7.0
2138,LOC_Os06g12060.1.MSUv7.0
2139,LOC_Os08g39330.1.MSUv7.0
2140,LOC_Os06g06980.3.MSUv7.0
2141,LOC_Os02g55630.1.MSUv7.0
2142,LOC_Os10g06630.1.MSUv7.0
2143,LOC_Os11g13670.1.MSUv7.0
2144,LOC_Os12g42230.1.MSUv7.0
2145,LOC_Os09g20240.1.MSUv7.0
2146,LOC_Os02g36990.1.MSUv7.0
2147,LOC_Os01g36460.1.MSUv7.0
2148,LOC_Os06g24190.1.MSUv7.0
2149,LOC_Os11g48020.1.MSUv7.0
2150,LOC_Os08g34480.1.MSUv7.0
2151,LOC_Os07g28480.1.MSUv7.0
2152,LOC_Os11g14430.1.MSUv7.0
2153,LOC_Os05g09740.1.MSUv7.0
2154,ChrUn.fgenesh.mRNA.24.MSUv7.0
2155,LOC_Os12g06290.1.MSUv7.0
2156,LOC_Os12g22030.1.MSUv7.0
2157,LOC_Os05g48070.1.MSUv7.0
2158,LOC_Os03g52490.1.MSUv7.0
2159,LOC_Os03g45730.1.MSUv7.0
2160,LOC_Os01g28500.1.MSUv7.0
2161,LOC_Os06g49030.1.MSUv7.0
2162,LOC_Os03g49490.2.MSUv7.0
2163,LOC_Os01g37130.1.MSUv7.0
2164,LOC_Os08g16880.1.MSUv7.0
2165,LOC_Os05g45030.1.MSUv7.0
2166,LOC_Os04g38610.3.MSUv7.0
2167,LOC_Os02g44320.1.MSUv7.0
2168,LOC_Os07g03368.1.MSUv7.0
2169,LOC_Os09g25060.1.MSUv7.0
2170,LOC_Os02g50550.1.MSUv7.0
2171,LOC_Os02g49700.3.MSUv7.0
2172,LOC_Os08g06415.1.MSUv7.0
2173,LOC_Os10g41960.1.MSUv7.0
2174,LOC_Os06g14370.2.MSUv7.0
2175,LOC_Os06g50170.1.MSUv7.0
2176,LOC_Os10g35710.2.MSUv7.0
2177,LOC_Os10g41520.2.MSUv7.0
2178,LOC_Os04g57310.1.MSUv7.0
2179,LOC_Os01g52390.1.MSUv7.0
2180,LOC_Os04g38750.1.MSUv7.0
2181,LOC_Os02g02500.1.MSUv7.0
2182,LOC_Os11g02070.1.MSUv7.0
2183,LOC_Os07g42950.1.MSUv7.0
2184,LOC_Os01g47600.1.MSUv7.0
2185,LOC_Os07g15600.1.MSUv7.0
2186,LOC_Os03g12670.3.MSUv7.0
2187,LOC_Os10g08780.1.MSUv7.0
2188,LOC_Os04g33830.1.MSUv7.0
2189,LOC_Os10g33855.1.MSUv7.0
2190,LOC_Os03g15740.1.MSUv7.0
2191,LOC_Os01g27390.1.MSUv7.0
2192,LOC_Os02g06640.4.MSUv7.0
2193,LOC_Os10g42724.1.MSUv7.0
2194,LOC_Os11g26860.1.MSUv7.0
2195,LOC_Os03g14880.1.MSUv7.0
2196,LOC_Os03g14590.2.MSUv7.0
2197,LOC_Os09g09480.1.MSUv7.0
2198,LOC_Os02g26700.2.MSUv7.0
2199,LOC_Os02g51790.1.MSUv7.0
2200,LOC_Os05g20050.2.MSUv7.0
2201,LOC_Os10g42230.3.MSUv7.0
2202,LOC_Os03g57140.1.MSUv7.0
2203,LOC_Os03g03630.1.MSUv7.0
2204,LOC_Os05g28980.2.MSUv7.0
2205,LOC_Os10g08550.1.MSUv7.0
2206,LOC_Os03g22210.1.MSUv7.0
2207,LOC_Os07g26740.1.MSUv7.0
2208,LOC_Os03g44800.1.MSUv7.0
2209,LOC_Os01g57560.1.MSUv7.0
2210,LOC_Os04g49440.1.MSUv7.0
2211,LOC_Os01g51570.1.MSUv7.0
2212,LOC_Os02g57270.2.MSUv7.0
2213,LOC_Os08g37920.2.MSUv7.0
2214,LOC_Os08g21840.1.MSUv7.0
2215,LOC_Os08g42640.1.MSUv7.0
2216,LOC_Os12g12170.1.MSUv7.0
2217,LOC_Os08g38850.2.MSUv7.0
2218,LOC_Os03g02400.1.MSUv7.0
2219,LOC_Os01g19630.4.MSUv7.0
2220,LOC_Os08g08360.1.MSUv7.0
2221,LOC_Os01g72800.1.MSUv7.0
2222,LOC_Os07g13234.1.MSUv7.0
2223,LOC_Os07g32800.1.MSUv7.0
2224,LOC_Os07g33660.1.MSUv7.0
2225,LOC_Os07g06840.1.MSUv7.0
2226,LOC_Os07g08710.2.MSUv7.0
2227,LOC_Os04g45800.1.MSUv7.0
2228,LOC_Os03g62620.3.MSUv7.0
2229,LOC_Os03g25280.1.MSUv7.0
2230,LOC_Os08g34790.1.MSUv7.0
2231,LOC_Os01g39310.1.MSUv7.0
2232,LOC_Os08g13320.1.MSUv7.0
2233,LOC_Os07g17560.1.MSUv7.0
2234,LOC_Os10g40510.1.MSUv7.0
2235,LOC_Os03g55070.1.MSUv7.0
2236,LOC_Os01g21310.1.MSUv7.0
2237,LOC_Os02g53340.2.MSUv7.0
2238,LOC_Os05g10370.1.MSUv7.0
2239,LOC_Os05g12640.3.MSUv7.0
2240,LOC_Os06g46799.1.MSUv7.0
2241,LOC_Os12g42980.2.MSUv7.0
2242,LOC_Os08g06020.1.MSUv7.0
2243,LOC_Os02g42330.1.MSUv7.0
2244,LOC_Os12g36890.1.MSUv7.0
2245,LOC_Os05g51700.2.MSUv7.0
2246,LOC_Os01g32750.1.MSUv7.0
2247,LOC_Os02g16680.1.MSUv7.0
2248,LOC_Os06g50600.2.MSUv7.0
2249,LOC_Os12g35570.1.MSUv7.0
2250,LOC_Os11g47630.1.MSUv7.0
2251,LOC_Os02g07060.1.MSUv7.0
2252,LOC_Os03g57220.2.MSUv7.0
2253,LOC_Os04g57800.1.MSUv7.0
2254,LOC_Os01g04100.1.MSUv7.0
2255,LOC_Os12g05380.1.MSUv7.0
2256,LOC_Os08g06280.7.MSUv7.0
2257,LOC_Os06g43770.1.MSUv7.0
2258,LOC_Os04g52880.1.MSUv7.0
2259,LOC_Os12g06850.1.MSUv7.0
2260,LOC_Os05g14180.2.MSUv7.0
2261,LOC_Os07g46920.1.MSUv7.0
2262,LOC_Os10g19860.1.MSUv7.0
2263,LOC_Os05g34770.1.MSUv7.0
2264,LOC_Os01g46510.1.MSUv7.0
2265,LOC_Os01g68650.1.MSUv7.0
2266,LOC_Os01g48930.1.MSUv7.0
2267,LOC_Os05g39110.2.MSUv7.0
2268,LOC_Os06g04460.1.MSUv7.0
2269,LOC_Os04g08310.1.MSUv7.0
2270,LOC_Os04g45650.2.MSUv7.0
2271,LOC_Os09g28600.1.MSUv7.0
2272,LOC_Os03g50850.2.MSUv7.0
2273,LOC_Os01g39860.1.MSUv7.0
2274,LOC_Os05g27940.1.MSUv7.0
2275,LOC_Os03g43850.1.MSUv7.0
2276,LOC_Os02g05450.1.MSUv7.0
2277,LOC_Os07g05820.1.MSUv7.0
2278,LOC_Os01g17020.1.MSUv7.0
2279,LOC_Os05g37930.2.MSUv7.0
2280,LOC_Os09g28520.1.MSUv7.0
2281,LOC_Os08g29720.2.MSUv7.0
2282,LOC_Os12g01740.1.MSUv7.0
2283,LOC_Os05g41110.2.MSUv7.0
2284,LOC_Os04g10420.1.MSUv7.0
2285,LOC_Os02g35180.1.MSUv7.0
2286,LOC_Os07g32020.1.MSUv7.0
2287,LOC_Os11g40540.2.MSUv7.0
2288,LOC_Os06g50679.1.MSUv7.0
2289,LOC_Os03g14642.1.MSUv7.0
2290,LOC_Os06g15620.1.MSUv7.0
2291,LOC_Os06g19750.1.MSUv7.0
2292,LOC_Os05g38230.1.MSUv7.0
2293,LOC_Os09g02530.1.MSUv7.0
2294,LOC_Os10g35840.1.MSUv7.0
2295,LOC_Os06g49810.1.MSUv7.0
2296,LOC_Os07g42260.1.MSUv7.0
2297,LOC_Os04g56100.1.MSUv7.0
2298,LOC_Os02g52900.2.MSUv7.0
2299,LOC_Os01g10580.1.MSUv7.0
2300,LOC_Os01g61670.1.MSUv7.0
2301,LOC_Os02g09220.1.MSUv7.0
2302,LOC_Os04g46220.1.MSUv7.0
2303,LOC_Os03g07920.1.MSUv7.0
2304,LOC_Os03g02780.1.MSUv7.0
2305,LOC_Os12g42550.1.MSUv7.0
2306,LOC_Os01g71990.1.MSUv7.0
2307,LOC_Os03g58330.1.MSUv7.0
2308,LOC_Os03g39710.1.MSUv7.0
2309,LOC_Os01g71820.1.MSUv7.0
2310,LOC_Os07g30820.2.MSUv7.0
2311,LOC_Os09g12290.1.MSUv7.0
2312,LOC_Os11g06390.5.MSUv7.0
2313,LOC_Os07g37850.1.MSUv7.0
2314,LOC_Os11g40510.1.MSUv7.0
2315,LOC_Os03g06490.1.MSUv7.0
2316,LOC_Os01g38990.1.MSUv7.0
2317,LOC_Os10g36480.1.MSUv7.0
2318,LOC_Os04g51880.6.MSUv7.0
2319,LOC_Os03g16220.6.MSUv7.0
2320,LOC_Os01g08860.1.MSUv7.0
2321,LOC_Os05g01060.1.MSUv7.0
2322,LOC_Os04g44820.1.MSUv7.0
2323,LOC_Os02g01240.1.MSUv7.0
2324,LOC_Os10g40100.2.MSUv7.0
2325,LOC_Os05g44200.1.MSUv7.0
2326,LOC_Os01g05490.1.MSUv7.0
2327,LOC_Os06g44890.1.MSUv7.0
2328,LOC_Os12g35270.1.MSUv7.0
2329,LOC_Os03g53800.5.MSUv7.0
2330,LOC_Os05g39350.1.MSUv7.0
2331,LOC_Os10g31520.1.MSUv7.0
2332,LOC_Os03g27390.2.MSUv7.0
2333,LOC_Os02g44100.3.MSUv7.0
2334,LOC_Os10g42320.1.MSUv7.0
2335,LOC_Os11g32480.1.MSUv7.0
2336,LOC_Os02g38440.1.MSUv7.0
2337,LOC_Os07g25410.1.MSUv7.0
2338,LOC_Os07g41694.1.MSUv7.0
2339,LOC_Os03g52690.8.MSUv7.0
2340,LOC_Os05g51700.1.MSUv7.0
2341,LOC_Os02g32350.2.MSUv7.0
2342,LOC_Os06g07580.1.MSUv7.0
2343,LOC_Os05g12640.4.MSUv7.0
2344,LOC_Os11g14010.2.MSUv7.0
2345,LOC_Os11g07950.1.MSUv7.0
2346,LOC_Os03g41060.1.MSUv7.0
2347,LOC_Os02g30650.2.MSUv7.0
2348,LOC_Os09g38370.1.MSUv7.0
2349,LOC_Os12g37060.1.MSUv7.0
2350,LOC_Os07g12510.1.MSUv7.0
2351,LOC_Os05g03540.1.MSUv7.0
2352,LOC_Os07g43810.1.MSUv7.0
2353,LOC_Os03g09120.1.MSUv7.0
2354,LOC_Os06g35060.1.MSUv7.0
2355,LOC_Os07g37570.1.MSUv7.0
2356,LOC_Os03g16800.2.MSUv7.0
2357,LOC_Os06g41010.4.MSUv7.0
2358,LOC_Os06g40818.1.MSUv7.0
2359,LOC_Os08g41470.2.MSUv7.0
2360,LOC_Os12g39620.1.MSUv7.0
2361,LOC_Os04g48800.3.MSUv7.0
2362,LOC_Os03g47070.1.MSUv7.0
2363,LOC_Os01g68870.1.MSUv7.0
2364,LOC_Os03g51690.1.MSUv7.0
2365,LOC_Os01g63420.1.MSUv7.0
2366,LOC_Os04g52670.1.MSUv7.0
2367,LOC_Os02g52170.1.MSUv7.0
2368,LOC_Os12g20390.1.MSUv7.0
2369,LOC_Os08g09180.1.MSUv7.0
2370,LOC_Os05g15230.1.MSUv7.0
2371,LOC_Os03g28330.2.MSUv7.0
2372,LOC_Os03g55830.1.MSUv7.0
2373,LOC_Os11g05010.2.MSUv7.0
2374,LOC_Os01g52260.1.MSUv7.0
2375,LOC_Os03g06580.2.MSUv7.0
2376,LOC_Os03g04020.2.MSUv7.0
2377,LOC_Os07g32880.1.MSUv7.0
2378,LOC_Os01g42720.1.MSUv7.0
2379,LOC_Os07g29420.3.MSUv7.0
2380,LOC_Os07g11490.2.MSUv7.0
2381,LOC_Os01g38244.1.MSUv7.0
2382,LOC_Os01g20780.1.MSUv7.0
2383,LOC_Os02g30240.1.MSUv7.0
2384,LOC_Os11g37070.1.MSUv7.0
2385,LOC_Os06g49480.2.MSUv7.0
2386,LOC_Os01g49190.1.MSUv7.0
2387,LOC_Os01g39840.2.MSUv7.0
2388,LOC_Os12g28770.1.MSUv7.0
2389,LOC_Os03g16870.1.MSUv7.0
2390,LOC_Os08g04440.1.MSUv7.0
2391,LOC_Os06g50490.1.MSUv7.0
2392,LOC_Os12g27520.1.MSUv7.0
2393,LOC_Os01g70470.1.MSUv7.0
2394,LOC_Os03g61960.1.MSUv7.0
2395,LOC_Os08g09250.1.MSUv7.0
2396,LOC_Os09g36700.1.MSUv7.0
