,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
A1,6.36E-21,2.23E-16,1.02E-13,7.81E-12,2.27E-10,3.56E-09,3.65E-08,2.74E-07,1.62E-06,7.95E-06,3.35E-05,0.000124734,0.000417628,0.001278444,0.003622663,0.009597313,0.023964324,0.056774947,0.12831452,0.277839614,0.578226308,1.158813699,2.236944035,4.15133431,7.371578809,12.42703793,19.68612152,29.01029303,39.5372494,49.92653432,58.98122605,66.10868946,71.31610611,74.93793077,77.38423247,79.01170806,80.08820669,80.80037811,81.27331282,81.58924185
A2,5.22E-20,1.17E-15,4.12E-13,2.64E-11,6.64E-10,9.26E-09,8.60E-08,5.93E-07,3.25E-06,1.49E-05,5.92E-05,0.000208225,0.000662298,0.001933351,0.005241355,0.013322504,0.031996292,0.073068963,0.159484313,0.3340548,0.673471214,1.309078387,2.453714204,4.426789892,7.653872621,12.59445473,19.54965112,28.38174754,38.34676839,48.28724014,57.12624831,64.26619259,69.63160252,73.46907272,76.13055486,77.94521702,79.17307288,80.00263938,80.5644567,80.94676249
A3,3.64E-19,5.65E-15,1.60E-12,8.78E-11,1.96E-09,2.49E-08,2.13E-07,1.36E-06,7.03E-06,3.05E-05,0.000115006,0.00038626,0.001177322,0.003303826,0.00863361,0.021203004,0.04930151,0.109196758,0.231507888,0.471604654,0.925577857,1.752602815,3.201263377,5.628684242,9.484619658,15.21448294,23.04802432,32.73542017,43.44008825,53.98252538,63.31950155,70.89063951,76.63485324,80.7976292,83.72832078,85.75812238,87.15331146,88.11058293,88.76867063,89.22302142
A4,1.43E-31,3.02E-25,1.51E-21,6.37E-19,6.92E-17,3.19E-15,8.13E-14,1.34E-12,1.60E-11,1.46E-10,1.08E-09,6.72E-09,3.61E-08,1.71E-07,7.30E-07,2.83E-06,1.01E-05,3.36E-05,0.000104694,0.00030753,0.000857069,0.002277336,0.005793711,0.014164298,0.033382297,0.076048328,0.167828711,0.359357835,0.747087865,1.506993013,2.941246042,5.521039094,9.865120726,16.53518795,25.57795029,36.09242213,46.44233122,55.16125796,61.64093258,66.05060101
A5,2.85E-29,2.36E-23,6.82E-20,1.95E-17,1.57E-15,5.64E-14,1.17E-12,1.61E-11,1.63E-10,1.29E-09,8.42E-09,4.66E-08,2.25E-07,9.64E-07,3.74E-06,1.33E-05,4.38E-05,0.000134762,0.000390048,0.001069019,0.002789192,0.006959505,0.016672143,0.038475505,0.085782956,0.185206358,0.387875675,0.788660355,1.556292413,2.973906645,5.47570727,9.631760226,15.98749662,24.69068387,35.08309512,45.74457868,55.18489002,62.56741052,67.83292536,71.36705533
A6,8.16E-31,1.32E-24,5.66E-21,2.14E-18,2.13E-16,9.16E-15,2.20E-13,3.46E-12,3.92E-11,3.45E-10,2.46E-09,1.48E-08,7.72E-08,3.56E-07,1.48E-06,5.59E-06,1.95E-05,6.35E-05,0.000193722,0.000558021,0.001526499,0.003984733,0.00996682,0.023973047,0.05562033,0.124797528,0.271341847,0.572437027,1.172034763,2.325639342,4.454674871,8.17437749,14.19795985,22.98114003,34.15391176,46.26820287,57.42926611,66.34194017,72.72555387,76.97668993
A7,6.68E-25,1.30E-19,1.62E-16,2.54E-14,1.28E-12,3.16E-11,4.74E-10,4.95E-09,3.92E-08,2.50E-07,1.33E-06,6.15E-06,2.51E-05,9.24E-05,0.000310588,0.000965435,0.002801469,0.007648594,0.019776679,0.048694432,0.114692267,0.259362406,0.564630936,1.185050876,2.39714508,4.660072713,8.650217315,15.16756001,24.76596684,37.13617357,50.7757192,63.59149043,74.04046868,81.6783534,86.86341496,90.23023134,92.36594216,93.70775776,94.54978512,95.08016465
A8,1.47E-25,3.83E-20,5.63E-17,9.97E-15,5.52E-13,1.47E-11,2.35E-10,2.60E-09,2.16E-08,1.44E-07,8.00E-07,3.83E-06,1.62E-05,6.13E-05,0.000212008,0.00067706,0.002015197,0.00563526,0.014904998,0.03749868,0.090158592,0.207954602,0.461487386,0.987046084,2.034921805,4.034408154,7.646996903,13.71454566,22.93666974,35.22537358,49.20623534,62.67110739,73.81815778,82.01506479,87.57289897,91.16071485,93.41740419,94.82141499,95.6934073,96.23693413
A9,2.79E-26,1.05E-20,1.90E-17,3.92E-15,2.44E-13,7.14E-12,1.24E-10,1.47E-09,1.30E-08,9.16E-08,5.35E-07,2.68E-06,1.18E-05,4.65E-05,0.000166878,0.000551309,0.001694002,0.004881446,0.013283097,0.034330594,0.084681913,0.200136127,0.454512617,0.993444594,2.089180234,4.213294193,8.087059833,14.58361975,24.28480237,36.73359085,50.12194178,62.18379176,71.5275797,78.00982787,82.20216618,84.809689,86.40226879,87.36973742,87.95866501,88.3193835
A10,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05,1.08E-05
